127.0.0.1 - - [29/Sep/2021:18:45:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:31 +0530] "POST /demo-project/ws/action/menu/tags HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/login.jsp HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/css/application.login.css HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/js/axelor.ns.js HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/lib/bootstrap/js/bootstrap.js HTTP/1.1" 200 61962
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/lib/jquery.ui/js/jquery.js HTTP/1.1" 200 293687
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 200 22108
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/lib/bootstrap/css/bootstrap.css HTTP/1.1" 200 105501
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/css/login.css HTTP/1.1" 200 3426
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/css/view.form.checkbox.css HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/css/colors.css HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/lib/font-awesome/css/font-awesome.css HTTP/1.1" 200 37151
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/img/axelor.png HTTP/1.1" 200 34203
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:36 +0530] "GET /student-demo/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:37 +0530] "POST /student-demo/callback HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:38 +0530] "GET /student-demo/ HTTP/1.1" 200 9305
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:38 +0530] "GET /student-demo/css/application.css HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:38 +0530] "GET /student-demo/img/axelor.png HTTP/1.1" 200 34203
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:38 +0530] "GET /student-demo/lib/underscore/underscore.js HTTP/1.1" 200 41426
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:38 +0530] "GET /student-demo/lib/underscore/underscore.string.js HTTP/1.1" 200 20874
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:38 +0530] "GET /student-demo/lib/jquery.ui/js/jquery-ui.js HTTP/1.1" 200 450133
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:38 +0530] "GET /student-demo/lib/jquery.ui/js/jquery.js HTTP/1.1" 200 293687
0:0:0:0:0:0:0:1 - - [29/Sep/2021:18:45:38 +0530] "GET /student-demo/lib/moment/moment.js HTTP/1.1" 200 393597
